N.,DEPA,ODS,Nombre_EPS,ID.EPS,Localidad,ID.Localidad,Ubigeo.CCPP,CCPP,ID.Reservorio,Nombre_Reservorio,X..Este....UTM,Y..Norte....UTM,Zona...UTM,Altitud,Tipo.de.Reservorio,Estado.Operativo,Observación,Antigüedad..Años.,Volumen.Reservorio..m3.,Material,Cuenta.con.tapa,Cerco.Protección,Foto_panoramica,Foto_tapa,Foto_estado,Fecha.de.fotos,Foto.Propia.de.ODS.o.de.EPS,X,Y
17,PIURA,PIURA,EPS GRAU S.A. ,032,PAITA,32027,2005010001,PAITA,R20,Reservorio RPAI-2 Paita-Parte Alta,487977.44,9437647.12,17M,47.6,Apoyado,Inoperativo,En desuso y reemplazado por el: Reservorio RPAI-3 Paita-Parte Alta,80,700,Concreto,No,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/18.%20Reservorio%20RPAI-2%20Paita-Parte%20Alta/18..jpg,NA,NA,45183,EPS,-5.087639743,-81.10846814
18,PIURA,PIURA,EPS GRAU S.A. ,032,LA HUACA,32021,2005050001,LA HUACA,R035,Reservorio R1,504686.00,9457184.00,17M,34,Elevado,Inoperativo,Fue demolido y reemplazado por el: Reservorio R2,31,80,Concreto,No,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/19.%20Reservorio%20R1/19..jpg,NA,NA,45217,EPS,-4.910904731,-80.95773398
19,PIURA,PIURA,EPS GRAU S.A. ,032,LA HUACA,32021,2005050001,LA HUACA,R036,Reservorio R2,504704.00,9457182.00,17M,34,Elevado,Opera Normal,Con tapa sanitaria,10,80,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/20.%20Reservorio%20R2/20.jpg,NA,NA,45217,EPS,-4.910922814,-80.95757163
20,PIURA,PIURA,EPS GRAU S.A. ,032,CASTILLA,32028,2001040001,CASTILLA,R16,Reservorio Las Mercedes,545315.22,9426115.22,17M,53.25,Elevado,Opera Normal,Con tapa sanitaria,12,3000,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/21.%20Reservorio%20Las%20Mercedes/21.jpg,NA,NA,45347,EPS,-5.191840808,-80.59110055
21,PIURA,PIURA,EPS GRAU S.A. ,032,NEGRITOS,32023,2007030001,NEGRITOS,R-3013,Reservorio Negritos,466765.08,9484851.07,17M,116.3,Apoyado,Opera Normal,Con tapa sanitaria,51,10000,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/22.%20Reservorio%20Negritos/22.jpg,NA,NA,45337,EPS,-4.660547022,-81.29965668
12,PIURA,PIURA,EPS GRAU S.A. ,032,AMOTAPE,32018,2005020001,AMOTAPE,-,ET. Bombeo 1,497118.67,9467034.63,17M,39,Semi-enterrado,Opera Normal,Con tapa sanitaria,45,NA,Concreto,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/23.%20ET.%20Bombeo%201/23.jpg,NA,NA,45217,EPS,-4.821790273,-81.02598513
13,PIURA,PIURA,EPS GRAU S.A. ,032,NEGRITOS,32023,2007030001,NEGRITOS,-,ET. Bombeo 2,494076.89,9474188.69,17M,139,Semi-enterrado,Opera Normal,Con tapa sanitaria,45,NA,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/24.%20ET.%20Bombeo%202/24.jpg,NA,NA,45209,EPS,-4.757068204,-81.05341225
24,PIURA,PIURA,EPS GRAU S.A. ,032,NEGRITOS,32023,2007030001,NEGRITOS,-,Reservorio R Cámara de Carga,492758.30,9481634.03,17M,240,Apoyado,Opera Normal,Sin tapa sanitaria,45,NA,Concreto,No,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/25.%20Reservorio%20R%20C%C3%A1mara%20de%20Carga/25.jpg,NA,NA,45186,EPS,-4.689711483,-81.06529647
15,PIURA,PIURA,EPS GRAU S.A. ,032,EL ARENAL,30077,2005030001,EL ARENAL,-,Reservorio Planta Antigua,496832.64,9459624.56,17M,91,Apoyado,Opera Normal,"Cobertura de calamina antiguo y regular estado de conservacion. Fue acondicionado como reservorio, su finalidad original fue decantador",40,NA,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/26.%20Reservorio%20Planta%20Antigua/26.jpg,NA,NA,45217,EPS,-4.888826566,-81.0285675
16,PIURA,PIURA,EPS GRAU S.A. ,032,TALARA,32003,2007010001,TALARA,R-VILLA LOS ANGELES,VILLA LOS ANGELES,471217.15,9492164.50,17M,86,Elevado,Opera Normal,Con tapa sanitaria,5,2500,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/27.%20Reservorio%20Villa%20Los%20%C3%81ngeles/Foto%20panor%C3%A1mica.JPG,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/27.%20Reservorio%20Villa%20Los%20%C3%81ngeles/Foto%20tapa%20sanitaria.JPG,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/27.%20Reservorio%20Villa%20Los%20%C3%81ngeles/Foto%20estado.JPG,45349,EPS,-4.594401103,-81.25949159
27,PIURA,PIURA,EPS GRAU S.A. ,032,NEGRITOS,32023,2007030001,NEGRITOS,R-908,RESERVORIO 908,466397.13,9486773.34,17M,45,Apoyado,Inoperativo,Cerco perimétrico en mal estado. Presencia de maleza en cerco.,17,186,Concreto,No,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/28.%20R-908/Foto%20panor%C3%A1mica.JPG,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/28.%20R-908/Foto%20tapa%20sanitaria.JPG,NA,45337,EPS,-4.643155613,-81.30296677
28,PIURA,PIURA,EPS GRAU S.A. ,032,PAITA,32027,2005010001,PAITA,R22,RPAI-4 PAITA-ZONA INDUSTRIAL 01,486170.32,9438384.48,17M,62,Apoyado,Opera Limitado,Sin tapa sanitaria,48,3500,Concreto,No,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/29.%20Reservorio%20RPAI-4%20PAITA-ZONA%20INDUSTRIAL%2001/Foto%20panor%C3%A1mica.JPG,NA,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/29.%20Reservorio%20RPAI-4%20PAITA-ZONA%20INDUSTRIAL%2001/Foto%20estado.JPG,45183,EPS,-5.080966207,-81.12477076
29,PIURA,PIURA,EPS GRAU S.A. ,032,PIURA,32001,2001010001,PIURA,R13,SAN BERNARDO,541490.04,9422696.08,17M,29,Elevado,Opera Normal,Con tapa sanitaria,49,300,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/30.%20Reservorio%20San%20Bernardo/Foto%20panor%C3%A1mica.JPG,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/30.%20Reservorio%20San%20Bernardo/Foto%20tapa%20sanitaria.JPG,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/30.%20Reservorio%20San%20Bernardo/Foto%20estado.JPG,45040,EPS,-5.222793021,-80.62559804
30,PIURA,PIURA,EPS GRAU S.A. ,032,EL ALTO,32024,2007020001,EL ALTO,R-3015,RESERVORIO 3015,476835.04,9500760.72,17M,45,Apoyado,Opera Limitado,Presencia de sulfatos (corrosión) en cuerpo de reservorio,54,5405,Acero,Si,No,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/31.%20Reservorio%203015/Foto%20panor%C3%A1mica.JPG,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/31.%20Reservorio%203015/Foto%20tapa%20sanitaria.JPG,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/31.%20Reservorio%203015/Foto%20estado.JPG,45347,EPS,-4.516650488762498,-81.20882136438648
31,PIURA,PIURA,EPS GRAU S.A. ,032,PAITA,32027,2005010001,PAITA,R-26,EST. BOMB.2-PAITA-PARTE ALTA,488742.27,9437753.13,17M,70,Semi-enterrado,Opera Normal,Con tapa sanitaria,27,500,Concreto,Si,Si,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/32.%20R-26/Foto%20panor%C3%A1mica.JPG,NA,https://sunassgobpe-my.sharepoint.com/personal/alazaro_sunass_gob_pe/Documents/Equipo%20ADP/Infraestructura%20EPS/1.%20Reservorio/19.-PIURA/EPS%20GRAU%20S.A/32.%20R-26/Foto%20estado.JPG,45183,EPS,-5.086681839231352,-81.10156766651362
