"","Prestador_Codigo","ubigeo_censo_17","Anio_informacion","nomprest","nomdep","nomprov","nomdist","NOM_CCPP","POBTOTAL","VIVTOTAL","densidad_pob","Latitud","Longitud","brinda_agua","brinda_alca","brinda_tar","brinda_excretas","cob_agua","cob_alca","Conex_tot_agua","Conex_tot_alca","tipo_fuente","licenciadeuso","tipo_prestador","es_formal","cobra_cuota","monto_cuota","conti_estiaje_horas","conti_avenida_horas","conti_estiaje_dias","conti_avenida_dias","tiene_sistema_cloracion","realiza_cloracion","cloro_residual_uv","tipo_agua","cloro_residual_reservorio","Ubic_APC_EPES","fuente","ambito","Prestador_Codigo_aux","ambito_prest","cuentaconlicenciavertimiento","numubs","EPS1","dentro_ambito","SECTOR","NOMEP","COD_EP","COD_LOC","COD_SECTOR","ID_LOCALID","distancia_minima","dentro_ambito_prest","info","NOMEP2","Prestador_Codigo_aux_2","ubigeo_censo_17_aux","POBTOTAL_aux"
"11","P-09343-N2P1B",501140095,2024,"JASS Arizona Alta","AYACUCHO","HUAMANGA","VINCHOS","ARIZONA",197,109,2.01091445427729,-13.31137333,-74.33254167,"Si","No","No","No",27.52,0,30,0,"Subterránea","Ninguna","OC","No","Si",18,24,24,7,7,"Si","Si",0,"Gravedad sin tratamiento",0,"Lejano","SUNASS","Rural","P-09343-N2P1B","Rural",NA,NA,"SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09343-N2P1B",501140095,197
"12","P-09345-X1S2X",501150005,2024,"JASS Santo Domingo","AYACUCHO","HUAMANGA","JESUS NAZARENO","SANTO DOMINGO",132,42,3.1331751948492,-13.11669204,-74.19576905,"Si","No","No","No",100,35.71,48,15,"Subterránea","Todas","OC","No","Si",5,24,24,7,7,"Si","Si",0,"Gravedad sin tratamiento",0,"Periurbano","SUNASS","Rural","P-09345-X1S2X","Rural","Ninguna","10","SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09345-X1S2X",501150005,132
"13","P-09120-N4Y0J",504010049,2024,"JASS Uchcumarca","AYACUCHO","HUANTA","HUANTA","UCHCUMARCA",184,73,2.87041475993317,-12.92597471,-74.23769828,"Si","No","No","No",100,100,111,97,"Subterránea","Todas","OC","No","Si",4,10,10,7,7,"Si","Si",0.5,"Gravedad con tratamiento",0.8,"Periurbano","SUNASS","Rural","P-09120-N4Y0J","Rural",NA,NA,"SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09120-N4Y0J",504010049,184
"14","P-09122-D7T5R",504010052,2024,"JASS Callqui","AYACUCHO","HUANTA","HUANTA","CALLQUI",392,121,2.87041475993317,-12.93184582,-74.2362046,"Si","No","No","No",44.63,NA,54,NA,"Subterránea","Todas","OC","No","Si",2,24,24,7,7,"Si","Si",0.6,"Gravedad sin tratamiento",1.2,"Periurbano","SUNASS","Rural","P-09122-D7T5R","Rural",NA,"48","SEDA AYACUCHO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","SEDA AYACUCHO S.A.","P-09122-D7T5R",504010052,392
"15","P-09334-B4P6G",1802070002,2024,"JASS Logen","MOQUEGUA","GENERAL SANCHEZ CERRO","MATALAQUE","LOJEN SALINAS",16,14,0.827272727272727,-16.42070998,-70.97342998,"Si","Si","No","No",100,100,40,40,"Subterránea","Todas","OC","No","Si",2,18,24,7,7,"No","No",NA,"Gravedad sin tratamiento",0,"Lejano","SUNASS","Rural","P-09334-B4P6G","Rural",NA,"15","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09334-B4P6G",1802070002,16
"16","P-09216-K2V6N",1801060101,2024,"UGM TORATA","MOQUEGUA","MARISCAL NIETO","TORATA","SAN ANTONIO",0,7,1.40480507706256,-17.00094,-70.85120833,"Si","No","No","Si",100,0,7,0,"Subterránea","Ninguna","UGM","Si","No",NA,8,10,4,7,"Si","Si",0.65,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09216-K2V6N","Rural",NA,"7","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09216-K2V6N",1801060101,0
"17","P-09216-K2V6N",1801060102,2024,"UGM TORATA","MOQUEGUA","MARISCAL NIETO","TORATA","TAMBO CORRAL",1,13,1.40480507706256,-17.007975,-70.85969333,"Si","No","No","Si",100,0,13,0,"Subterránea","Ninguna","UGM","Si","No",NA,8,10,4,7,"Si","Si",0.65,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09216-K2V6N","Rural",NA,"13","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09216-K2V6N",1801060102,1
"18","P-09216-K2V6N",1801060104,2024,"UGM TORATA","MOQUEGUA","MARISCAL NIETO","TORATA","ALTO OTORA",6,12,1.40480507706256,-17.02691,-70.86209833,"Si","No","No","Si",100,0,12,0,"Subterránea","Ninguna","UGM","Si","No",NA,1,6,2,4,"Si","Si",0.65,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09216-K2V6N","Rural",NA,"12","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09216-K2V6N",1801060104,6
"19","P-09264-H6P1T",1801020107,2024,"JASS YARAGUA","MOQUEGUA","MARISCAL NIETO","CARUMAS","YARAGUA",10,33,1.1552734375,-16.76757833,-70.772005,"Si","No","No","No",42.42,0,14,0,"Subterránea","Ninguna","OC","No","No",NA,10,24,3,7,"Si","Si",0.48,"Gravedad sin tratamiento",1,"Lejano","SUNASS","Rural","P-09264-H6P1T","Rural",NA,NA,"EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09264-H6P1T",1801020107,10
"20","P-09371-R4B1T",1801060001,2024,"COMITE AGUA JORGE CHAVEZ A","MOQUEGUA","MARISCAL NIETO","TORATA","TORATA",830,439,1.40480507706256,-17.0767004,-70.84411954,"Si","Si","No","No",11.85,11.85,52,52,"Subterránea","Todas","OC","No","No",NA,18,24,5,7,"Si","Si",5,"Gravedad sin tratamiento",1.2,"Lejano","SUNASS","Rural","P-09371-R4B1T","Rural",NA,NA,"EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","EPS ILO S.A.","P-09371-R4B1T",1801060001,830
"21","P-09216-K2V6N",1801060016,2024,"UGM TORATA","MOQUEGUA","MARISCAL NIETO","TORATA","SAJENA ALTA",13,9,1.40480507706256,-16.98557833,-70.83610167,"Si","No","No","Si",100,0,11,0,"Subterránea","Ninguna","UGM","Si","No",NA,8,10,4,7,"Si","Si",0.65,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09216-K2V6N","Rural",NA,"11","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09216-K2V6N",1801060016,13
"22","P-09216-K2V6N",1801060023,2024,"UGM TORATA","MOQUEGUA","MARISCAL NIETO","TORATA","LINGANE",14,11,1.40480507706256,-17.00057167,-70.84749833,"Si","No","No","Si",100,0,11,0,"Subterránea","Ninguna","UGM","Si","No",NA,8,12,4,7,"Si","Si",0.65,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09216-K2V6N","Rural",NA,"11","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09216-K2V6N",1801060023,14
"23","P-09216-K2V6N",1801060024,2024,"UGM TORATA","MOQUEGUA","MARISCAL NIETO","TORATA","SAJENA BAJA",15,9,1.40480507706256,-16.99719167,-70.84213667,"Si","No","No","Si",100,0,10,0,"Subterránea","Ninguna","UGM","Si","No",NA,8,12,4,7,"Si","Si",0.65,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09216-K2V6N","Rural",NA,"10","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09216-K2V6N",1801060024,15
"24","P-09216-K2V6N",1801060028,2024,"UGM TORATA","MOQUEGUA","MARISCAL NIETO","TORATA","OTORA",55,46,1.40480507706256,-17.00972833,-70.85171167,"Si","No","No","Si",100,0,51,0,"Subterránea","Ninguna","UGM","Si","No",NA,8,12,4,7,"Si","Si",0.65,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09216-K2V6N","Rural",NA,"51","EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Unico","EPS ILO S.A.","P-09216-K2V6N",1801060028,55
"25","P-09348-V7X7S",1802100008,2024,"UNIDADA DE GESTION MUNICIPAL DE UBINAS","MOQUEGUA","GENERAL SANCHEZ CERRO","UBINAS","MATAZO",39,24,1.18113975576662,-16.16835,-70.84443667,"Si","Si","Si","No",100,100,25,25,"Subterránea","Ninguna","UGM","Si","No",NA,24,24,7,7,"No","No",NA,"Gravedad sin tratamiento",0,"Lejano","SUNASS","Rural","P-09348-V7X7S","Rural",NA,NA,"EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","EPS ILO S.A.","P-09348-V7X7S",1802100008,39
"26","P-09358-S8Q8G",1802100009,2024,"UGM Municipalidad Distrital de Ubinas","MOQUEGUA","GENERAL SANCHEZ CERRO","UBINAS","QUERALA",51,31,1.18113975576662,-16.14634833,-70.76877833,"Si","Si","Si","No",96.77,96.77,30,30,"Subterránea","Ninguna","UGM","Si","No",NA,24,24,7,7,"Si","Si",0,"Gravedad sin tratamiento",0,"Lejano","SUNASS","Rural","P-09358-S8Q8G","Rural",NA,NA,"EPS ILO S.A.","No",NA,NA,NA,NA,NA,NA,NA,"NO","Ambos","EPS ILO S.A.","P-09358-S8Q8G",1802100009,51
"27","P-09079-F1Q0B",218010031,2024,"Junta Administradora de Agua Potable Canal Bajo - km 15","ANCASH","SANTA","CHIMBOTE","ALTO CANAL",78,46,3.52790323684391,-8.94503658,-78.5629136,"Si","No","No","No",4.35,0,2,0,"Subterránea","Ninguna","OC","No","Si",NA,5,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09079-F1Q0B","Rural",NA,NA,"EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01402","01402SEC02","01402 - CHIMBOTE",10.607257401663,"NO","Unico","SEDACHIMBOTE S. A.","P-09079-F1Q0B",218010031,78
"28","P-09079-F1Q0B",218010032,2024,"Junta Administradora de Agua Potable Canal Bajo - km 15","ANCASH","SANTA","CHIMBOTE","BAJO CANAL",158,62,3.52790323684391,-8.94946733,-78.56708482,"Si","No","No","No",100,0,62,0,"Subterránea","Ninguna","OC","No","Si",NA,5,24,7,7,"No","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09079-F1Q0B","Rural",NA,"85","EPS CHAVIN S.A.","No","2","SEDACHIMBOTE S. A.","014","01402","01402SEC02","01402 - CHIMBOTE",10.0053446116712,"NO","Ambos","SEDACHIMBOTE S. A.","P-09079-F1Q0B",218010032,158
"29","P-09252-N6B8F",208040066,2024,"Jass del sector Los Ángeles","ANCASH","CASMA","YAUTAN","LOS ANGELES",195,65,2.98418972332016,-9.52136,-78.08915333,"Si","Si","Si","No",100,100,97,82,"Subterránea","Algunas","OC","Si","Si",NA,0.5,7,3,7,"Si","Si",0,"Gravedad sin tratamiento",0,"Lejano","SUNASS","Rural","P-09252-N6B8F","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",22.6575506911455,"NO","Ambos","SEDACHIMBOTE S. A.","P-09252-N6B8F",208040066,195
"30","P-09150-R1D0Q",208040044,2024,"Junta Administradora de Servicios de Saneamiento La Hoyada Baja-Condorarma","ANCASH","CASMA","YAUTAN","LA HOYADA BAJA",109,38,2.98418972332016,-9.53073333,-78.08260167,"Si","No","No","No",100,0,47,0,"Subterránea","Todas","OC","Si","Si",24,2,24,7,7,"Si","Si",0.5,"Gravedad sin tratamiento",1.03,"Lejano","SUNASS","Rural","P-09150-R1D0Q","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",23.6073161454199,"NO","Ambos","SEDACHIMBOTE S. A.","P-09150-R1D0Q",208040044,109
"31","P-09150-R1D0Q",208040045,2024,"Junta Administradora de Servicios de Saneamiento La Hoyada Baja-Condorarma","ANCASH","CASMA","YAUTAN","LA HOYADA ALTA",21,11,2.98418972332016,-9.53694,-78.07897167,"Si","No","No","No",63.64,0,7,0,"Subterránea","Todas","OC","Si","Si",24,24,24,7,7,"Si","Si",0.5,"Gravedad sin tratamiento",1.03,"Lejano","SUNASS","Rural","P-09150-R1D0Q","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",24.1775765056255,"NO","Ambos","SEDACHIMBOTE S. A.","P-09150-R1D0Q",208040045,21
"32","P-09194-Q5Z7P",208040047,2024,"Junta Administradora de Servicios de Saneamiento del sector Cantarilla","ANCASH","CASMA","YAUTAN","CANTARILLA",163,61,2.98418972332016,-9.52881167,-78.05382167,"Si","No","No","No",100,0,81,0,"Subterránea","Todas","OC","No","Si",5,17,17,7,7,"Si","Si",0.5,"Gravedad sin tratamiento",1,"Lejano","SUNASS","Rural","P-09194-Q5Z7P","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",26.619274462043,"NO","Ambos","SEDACHIMBOTE S. A.","P-09194-Q5Z7P",208040047,163
"33","P-09194-Q5Z7P",208040048,2024,"Junta Administradora de Servicios de Saneamiento del sector Cantarilla","ANCASH","CASMA","YAUTAN","LA MAQUINA",36,9,2.98418972332016,-9.537545,-78.05564667,"Si","No","No","No",66.67,0,6,0,"Subterránea","Todas","OC","No","Si",5,17,17,7,7,"Si","Si",0.5,"Gravedad sin tratamiento",1,"Lejano","SUNASS","Rural","P-09194-Q5Z7P","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",26.6584865262276,"NO","Ambos","SEDACHIMBOTE S. A.","P-09194-Q5Z7P",208040048,36
"34","P-09194-Q5Z7P",208040041,2024,"Junta Administradora de Servicios de Saneamiento del sector Cantarilla","ANCASH","CASMA","YAUTAN","LAGAR",174,59,2.98418972332016,-9.522525,-78.05155333,"Si","No","No","No",16.95,0,10,0,"Subterránea","Todas","OC","No","Si",5,7,7,7,7,"Si","Si",0.5,"Gravedad sin tratamiento",1,"Lejano","SUNASS","Rural","P-09194-Q5Z7P","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",26.7165554382903,"NO","Ambos","SEDACHIMBOTE S. A.","P-09194-Q5Z7P",208040041,174
"35","P-09150-R1D0Q",208040028,2024,"Junta Administradora de Servicios de Saneamiento La Hoyada Baja-Condorarma","ANCASH","CASMA","YAUTAN","CONDORARMA",15,5,2.98418972332016,-9.52893167,-78.08985333,"Si","No","No","No",40,0,2,0,"Subterránea","Todas","OC","Si","Si",24,2,24,7,7,"Si","Si",0.5,"Gravedad sin tratamiento",1.03,"Lejano","SUNASS","Rural","P-09150-R1D0Q","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",22.7873579815708,"NO","Ambos","SEDACHIMBOTE S. A.","P-09150-R1D0Q",208040028,15
"36","P-09194-Q5Z7P",208040029,2024,"Junta Administradora de Servicios de Saneamiento del sector Cantarilla","ANCASH","CASMA","YAUTAN","CABRILLAS",38,17,2.98418972332016,-9.53011,-78.06042,"Si","No","No","No",100,0,18,0,"Subterránea","Todas","OC","No","Si",5,7,7,7,7,"Si","Si",0.5,"Gravedad sin tratamiento",1,"Lejano","SUNASS","Rural","P-09194-Q5Z7P","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",25.9476565405292,"NO","Ambos","SEDACHIMBOTE S. A.","P-09194-Q5Z7P",208040029,38
"37","P-09376-R2D2Q",208020005,2024,"Junta Administradora de Servicios de Saneamiento del sector Tuctupillín","ANCASH","CASMA","BUENA VISTA ALTA","CUNCA",68,26,2.25958840037418,-9.3392,-78.12593667,"Si","No","No","No",80.77,0,21,0,NA,NA,"OC","No","Si",18,4,24,7,7,NA,NA,NA,NA,NA,"Lejano","SUNASS","Rural","P-09376-R2D2Q","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",22.9789376809623,"NO","Ambos","SEDACHIMBOTE S. A.","P-09376-R2D2Q",208020005,68
"38","P-09376-R2D2Q",208020006,2024,"Junta Administradora de Servicios de Saneamiento del sector Tuctupillín","ANCASH","CASMA","BUENA VISTA ALTA","TUCTUPILLIN",129,51,2.25958840037418,-9.336825,-78.11303,"Si","No","No","No",60.78,0,31,0,NA,NA,"OC","No","Si",18,20,24,7,7,NA,NA,NA,NA,NA,"Lejano","SUNASS","Rural","P-09376-R2D2Q","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",24.2893275478148,"NO","Ambos","SEDACHIMBOTE S. A.","P-09376-R2D2Q",208020006,129
"39","P-09327-W4X4H",208020021,2024,"JASS del caserío El Olivar","ANCASH","CASMA","BUENA VISTA ALTA","OLIVAR ALTO",137,59,2.25958840037418,-9.38969,-78.176765,"Si","No","No","No",84.75,0,50,0,"Subterránea","Todas","OC","No","Si",3,4,17,7,7,"Si","No",NA,"Gravedad sin tratamiento",0,"Lejano","SUNASS","Rural","P-09327-W4X4H","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",15.2136103455977,"NO","Ambos","SEDACHIMBOTE S. A.","P-09327-W4X4H",208020021,137
"40","P-09327-W4X4H",208020022,2024,"JASS del caserío El Olivar","ANCASH","CASMA","BUENA VISTA ALTA","OLIVAR BAJO",62,40,2.25958840037418,-9.39331833,-78.17971333,"Si","No","No","No",90,0,36,0,"Subterránea","Todas","OC","No","Si",3,4,17,7,7,"Si","No",NA,"Gravedad sin tratamiento",0,"Lejano","SUNASS","Rural","P-09327-W4X4H","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",14.7188533370837,"NO","Unico","SEDACHIMBOTE S. A.","P-09327-W4X4H",208020022,62
"41","P-09128-L8T9J",208020035,2024,"JASS Sechín Alto","ANCASH","CASMA","BUENA VISTA ALTA","SECHIN ALTO",154,60,2.25958840037418,-9.460085,-78.23916167,"Si","No","No","No",100,0,60,0,"Subterránea","Ninguna","OC","No","Si",NA,0.75,0.75,7,7,"Si","No",NA,"Bombeo sin tratamiento",NA,"Cercano","SUNASS","Rural","P-09128-L8T9J","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",5.72916908350782,"NO","Ambos","SEDACHIMBOTE S. A.","P-09128-L8T9J",208020035,154
"42","P-09256-L0G8B",208040009,2024,"Jass del sector Calpoc - San Miguel de Calpoc","ANCASH","CASMA","YAUTAN","CALPOC",141,48,2.98418972332016,-9.48135167,-77.94927333,"Si","No","No","No",100,0,54,0,"Subterránea","Ninguna","OC","Si","Si",12,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09256-L0G8B","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",37.3984657612018,"NO","Ambos","SEDACHIMBOTE S. A.","P-09256-L0G8B",208040009,141
"43","P-09256-L0G8B",208040010,2024,"Jass del sector Calpoc - San Miguel de Calpoc","ANCASH","CASMA","YAUTAN","SAN MIGUEL DE CALPOC",144,37,2.98418972332016,-9.483335,-77.95872,"Si","No","No","No",100,0,54,0,"Subterránea","Ninguna","OC","Si","Si",12,24,24,7,7,"Si","No",NA,"Gravedad sin tratamiento",NA,"Lejano","SUNASS","Rural","P-09256-L0G8B","Rural",NA,NA,"EPS CHAVIN S.A.","No","1","SEDACHIMBOTE S. A.","014","01401","01401SEC03","01401 - CASMA",36.3692459143178,"NO","Ambos","SEDACHIMBOTE S. A.","P-09256-L0G8B",208040010,144
